学校名称,985,211,双一流,普通院校,院系名称,专业,招生人数,学习方式,分数线
清华大学,是,是,是,不是,人文学院,哲学,4,全日制,370
清华大学,是,是,是,不是,社会科学学院,理论经济学,1,全日制,350
清华大学,是,是,是,不是,经济管理学院,金融,1,全日制,365
清华大学,是,是,是,不是,五道口金融学院,金融,35,全日制,365
清华大学,是,是,是,不是,清华大学深圳国际研究生院,金融,29,全日制,365
清华大学,是,是,是,不是,人文学院,哲学,4,全日制,370
清华大学,是,是,是,不是,社会科学学院,理论经济学,1,全日制,350
清华大学,是,是,是,不是,经济管理学院,金融,1,全日制,365
清华大学,是,是,是,不是,五道口金融学院,金融,35,全日制,365
清华大学,是,是,是,不是,清华大学深圳国际研究生院,金融,29,全日制,365
清华大学,是,是,是,不是,数学科学系,应用统计,2,全日制,380
清华大学,是,是,是,不是,统计与数据科学系,应用统计,40,非全日制,380
清华大学,是,是,是,不是,经济管理学院,数字经济,30,非全日制,346
清华大学,是,是,是,不是,社会科学学院,数字经济,19,非全日制,346
清华大学,是,是,是,不是,法学院,法学,20,全日制,323
清华大学,是,是,是,不是,社会科学学院,政治学,1,全日制,323
清华大学,是,是,是,不是,社会科学学院,社会学,1,全日制,323
清华大学,是,是,是,不是,马克思主义学院,马克思主义理论,14,全日制,323
清华大学,是,是,是,不是,马克思主义学院,中共党史党建学,5,全日制,323
清华大学,是,是,是,不是,公共管理学院,纪检监察学,5,全日制,323
清华大学,是,是,是,不是,法学院,法律（非法学）,33,全日制,343
清华大学,是,是,是,不是,法学院,法律（法学）,12,全日制,340
清华大学,是,是,是,不是,社会科学学院,国际事务,17,全日制,323
清华大学,是,是,是,不是,教育学院,教育学,12,全日制,345
清华大学,是,是,是,不是,社会科学学院,体育学,1,全日制,328
清华大学,是,是,是,不是,社会科学学院,体育,5,全日制,368
清华大学,是,是,是,不是,心理与认知科学系,应用心理,29,非全日制,341
清华大学,是,是,是,不是,人文学院,中国语言文学,4,全日制,351
清华大学,是,是,是,不是,外国语言文学系,外国语言文学,3,全日制,351
清华大学,是,是,是,不是,新闻与传播学院,新闻传播学,19,全日制,351
清华大学,是,是,是,不是,新闻与传播学院,新闻与传播,8,全日制,352
清华大学,是,是,是,不是,新闻与传播学院,新闻与传播,10,非全日制,352
清华大学,是,是,是,不是,人文学院,中国史,4,全日制,340
清华大学,是,是,是,不是,人文学院,世界史,1,全日制,340
清华大学,是,是,是,不是,求真书院,数学,10,全日制,328
清华大学,是,是,是,不是,人文学院,科学技术史,3,全日制,328
清华大学,是,是,是,不是,电子工程系,电子科学与技术,2,全日制,325
清华大学,是,是,是,不是,电子工程系,信息与通信工程,2,全日制,325
清华大学,是,是,是,不是,生物医学工程学院,生物医学工程,3,全日制,325
清华大学,是,是,是,不是,建筑学院,建筑,4,全日制,310
清华大学,是,是,是,不是,建筑学院,建筑,1,全日制,310
清华大学,是,是,是,不是,建筑学院,建筑,9,非全日制,310
清华大学,是,是,是,不是,清华大学深圳国际研究生院,建筑,12,全日制,310
清华大学,是,是,是,不是,建筑学院,城乡规划,2,全日制,330
清华大学,是,是,是,不是,建筑学院,城乡规划,1,全日制,330
清华大学,是,是,是,不是,清华大学深圳国际研究生院,城乡规划,5,全日制,330
清华大学,是,是,是,不是,清华大学深圳国际研究生院,电子信息,180,全日制,325
清华大学,是,是,是,不是,精密仪器系,电子信息,12,全日制,325
清华大学,是,是,是,不是,精密仪器系,电子信息,2,全日制,325
清华大学,是,是,是,不是,电子工程系,电子信息,33,全日制,325
清华大学,是,是,是,不是,电子工程系,电子信息,1,全日制,325
清华大学,是,是,是,不是,计算机科学与技术系,电子信息,13,全日制,325
清华大学,是,是,是,不是,计算机科学与技术系,电子信息,1,全日制,325
清华大学,是,是,是,不是,自动化系,电子信息,21,全日制,325
清华大学,是,是,是,不是,自动化系,电子信息,2,全日制,325
清华大学,是,是,是,不是,集成电路学院,电子信息,38,全日制,325
清华大学,是,是,是,不是,集成电路学院,电子信息,3,全日制,325
清华大学,是,是,是,不是,网络科学与网络空间研究院,电子信息,12,全日制,325
清华大学,是,是,是,不是,网络科学与网络空间研究院,电子信息,1,全日制,325
清华大学,是,是,是,不是,生物医学工程学院,电子信息,6,全日制,325
清华大学,是,是,是,不是,生物医学工程学院,电子信息,1,全日制,325
清华大学,是,是,是,不是,清华大学深圳国际研究生院,计算机技术,21,全日制,325
清华大学,是,是,是,不是,软件学院,软件工程,10,全日制,325
清华大学,是,是,是,不是,软件学院,软件工程,1,全日制,325
清华大学,是,是,是,不是,清华大学深圳国际研究生院,大数据技术与工程,16,全日制,325
清华大学,是,是,是,不是,航天航空学院,机械,11,全日制,325
清华大学,是,是,是,不是,航天航空学院,机械,1,全日制,325
清华大学,是,是,是,不是,航空发动机研究院,机械,4,全日制,325
清华大学,是,是,是,不是,航空发动机研究院,机械,1,全日制,325
清华大学,是,是,是,不是,美术学院,机械,15,非全日制,325
清华大学,是,是,是,不是,清华大学深圳国际研究生院,机械,23,全日制,325
清华大学,是,是,是,不是,机械工程系,机械,13,全日制,325
清华大学,是,是,是,不是,机械工程系,机械,2,全日制,325
清华大学,是,是,是,不是,车辆与运载学院,机械,3,全日制,325
清华大学,是,是,是,不是,车辆与运载学院,机械,1,全日制,325
清华大学,是,是,是,不是,材料学院,材料与化工,4,全日制,325
清华大学,是,是,是,不是,材料学院,材料与化工,1,全日制,325
清华大学,是,是,是,不是,化学工程系,材料与化工,2,全日制,325
清华大学,是,是,是,不是,化学工程系,材料与化工,1,全日制,325
清华大学,是,是,是,不是,清华大学深圳国际研究生院,材料与化工,79,全日制,325
清华大学,是,是,是,不是,环境学院,资源与环境,10,全日制,325
清华大学,是,是,是,不是,环境学院,资源与环境,1,全日制,325
清华大学,是,是,是,不是,工程物理系,资源与环境,5,全日制,325
清华大学,是,是,是,不是,工程物理系,资源与环境,1,全日制,325
清华大学,是,是,是,不是,清华大学深圳国际研究生院,资源与环境,51,全日制,325
清华大学,是,是,是,不是,安全科学学院,资源与环境,7,全日制,325
清华大学,是,是,是,不是,安全科学学院,资源与环境,1,全日制,325
清华大学,是,是,是,不是,工程物理系,能源动力,6,全日制,325
清华大学,是,是,是,不是,工程物理系,能源动力,2,全日制,325
清华大学,是,是,是,不是,核能与新能源技术研究院,能源动力,12,全日制,325
清华大学,是,是,是,不是,核能与新能源技术研究院,能源动力,1,全日制,325
清华大学,是,是,是,不是,能源与动力工程系,能源动力,7,全日制,325
清华大学,是,是,是,不是,能源与动力工程系,能源动力,1,全日制,325
清华大学,是,是,是,不是,车辆与运载学院,能源动力,2,全日制,325
清华大学,是,是,是,不是,车辆与运载学院,能源动力,1,全日制,325
清华大学,是,是,是,不是,电机工程与应用电子技术系,电气工程,18,全日制,325
清华大学,是,是,是,不是,电机工程与应用电子技术系,电气工程,1,全日制,325
清华大学,是,是,是,不是,清华大学深圳国际研究生院,电气工程,19,全日制,325
清华大学,是,是,是,不是,建筑学院,土木水利,2,全日制,325
清华大学,是,是,是,不是,建筑学院,土木水利,1,全日制,325
清华大学,是,是,是,不是,清华大学深圳国际研究生院,土木水利,15,全日制,325
清华大学,是,是,是,不是,土木工程系,土木水利,4,全日制,325
清华大学,是,是,是,不是,土木工程系,土木水利,1,全日制,325
清华大学,是,是,是,不是,水利水电工程系,土木水利,4,全日制,325
清华大学,是,是,是,不是,水利水电工程系,土木水利,1,全日制,325
清华大学,是,是,是,不是,化学工程系,生物与医药,2,全日制,325
清华大学,是,是,是,不是,化学工程系,生物与医药,1,全日制,325
清华大学,是,是,是,不是,建筑学院,风景园林,2,全日制,300
清华大学,是,是,是,不是,建筑学院,风景园林,1,全日制,300
清华大学,是,是,是,不是,建筑学院,风景园林,16,非全日制,300
清华大学,是,是,是,不是,临床医学院,临床医学,5,全日制,335
清华大学,是,是,是,不是,临床医学院,临床医学,17,全日制,330
清华大学,是,是,是,不是,医学院,公共卫生,15,非全日制,294
清华大学,是,是,是,不是,万科公共卫生与健康学院,公共卫生,12,全日制,294
清华大学,是,是,是,不是,万科公共卫生与健康学院,公共卫生,15,非全日制,294
清华大学,是,是,是,不是,核能与新能源技术研究院,管理科学与工程,1,全日制,345
清华大学,是,是,是,不是,经济管理学院,管理科学与工程,1,全日制,345
清华大学,是,是,是,不是,经济管理学院,工商管理学,1,全日制,345
清华大学,是,是,是,不是,公共管理学院,公共管理学,8,全日制,345
清华大学,是,是,是,不是,清华大学深圳国际研究生院,公共管理学,19,全日制,345
清华大学,是,是,是,不是,经济管理学院,工商管理,50,全日制,151
清华大学,是,是,是,不是,经济管理学院,工商管理,546,非全日制,151
清华大学,是,是,是,不是,五道口金融学院,工商管理,265,非全日制,151
清华大学,是,是,是,不是,清华大学深圳国际研究生院,工商管理,55,非全日制,151
清华大学,是,是,是,不是,公共管理学院,公共管理,40,全日制,164
清华大学,是,是,是,不是,公共管理学院,公共管理,170,非全日制,164
清华大学,是,是,是,不是,经济管理学院,会计,30,非全日制,194
清华大学,是,是,是,不是,清华大学深圳国际研究生院,会计,30,非全日制,194
清华大学,是,是,是,不是,工业工程系,工程管理,327,非全日制,162
清华大学,是,是,是,不是,工业工程系,工业工程与管理,1,全日制,345
清华大学,是,是,是,不是,清华大学深圳国际研究生院,物流工程与管理,18,全日制,237
清华大学,是,是,是,不是,美术学院,艺术学,3,全日制,351
清华大学,是,是,是,不是,美术学院,美术与书法,13,全日制,351
清华大学,是,是,是,不是,美术学院,美术与书法,24,非全日制,351
清华大学,是,是,是,不是,美术学院,设计,44,全日制,351
清华大学,是,是,是,不是,美术学院,设计,21,非全日制,351
清华大学,是,是,是,不是,美术学院,设计学,18,全日制,280
清华大学,是,是,是,不是,清华大学深圳国际研究生院,数据科学和信息技术,30,全日制,325
清华大学,是,是,是,不是,清华大学全球创新学院,数据科学和信息技术,30,全日制,325
清华大学,是,是,是,不是,清华大学深圳国际研究生院,环境科学与新能源技术,9,全日制,325
清华大学,是,是,是,不是,清华大学深圳国际研究生院,精准医学与公共健康,9,全日制,325
清华大学,是,是,是,不是,美术学院,信息艺术设计,6,全日制,280
清华大学,是,是,是,不是,清华大学深圳国际研究生院,医疗管理,28,非全日制,182
清华大学,是,是,是,不是,医疗管理学院,医疗管理,20,非全日制,345
清华大学,是,是,是,不是,苏世民书院,全球领导力,24,全日制,246
北京大学,是,是,是,不是,哲学系,马克思主义哲学,6,全日制,345
北京大学,是,是,是,不是,哲学系,马克思主义哲学,1,全日制,345
北京大学,是,是,是,不是,哲学系,中国哲学,6,全日制,345
北京大学,是,是,是,不是,哲学系,外国哲学,6,全日制,345
北京大学,是,是,是,不是,哲学系,逻辑学,3,全日制,345
北京大学,是,是,是,不是,哲学系,马克思主义哲学,6,全日制,345
北京大学,是,是,是,不是,哲学系,马克思主义哲学,1,全日制,345
北京大学,是,是,是,不是,哲学系,中国哲学,6,全日制,345
北京大学,是,是,是,不是,哲学系,外国哲学,6,全日制,345
北京大学,是,是,是,不是,哲学系,逻辑学,3,全日制,345
北京大学,是,是,是,不是,哲学系,伦理学,3,全日制,345
北京大学,是,是,是,不是,哲学系,美学,4,全日制,345
北京大学,是,是,是,不是,哲学系,宗教学,8,全日制,345
北京大学,是,是,是,不是,哲学系,科学技术哲学,8,全日制,345
北京大学,是,是,是,不是,马克思主义学院,政治经济学,6,全日制,375
北京大学,是,是,是,不是,深圳研究生院,西方经济学,50,全日制,375
北京大学,是,是,是,不是,数学科学学院,金融,48,全日制,360
北京大学,是,是,是,不是,经济学院,金融,38,全日制,360
北京大学,是,是,是,不是,光华管理学院,金融,124,全日制,360
北京大学,是,是,是,不是,深圳研究生院,金融,170,全日制,360
北京大学,是,是,是,不是,经济学院,税务,14,全日制,360
北京大学,是,是,是,不是,经济学院,国际商务,14,全日制,360
北京大学,是,是,是,不是,经济学院,保险,14,全日制,360
北京大学,是,是,是,不是,经济学院,数字经济,20,全日制,385
北京大学,是,是,是,不是,法学院,法律史,6,全日制,345
北京大学,是,是,是,不是,法学院,宪法学与行政法学,9,全日制,345
北京大学,是,是,是,不是,法学院,刑法学,6,全日制,345
北京大学,是,是,是,不是,法学院,民商法学,6,全日制,345
北京大学,是,是,是,不是,法学院,民商法学,1,全日制,345
北京大学,是,是,是,不是,法学院,经济法学,7,全日制,345
北京大学,是,是,是,不是,法学院,国际法学,4,全日制,345
北京大学,是,是,是,不是,政府管理学院,政治学理论,5,全日制,345
北京大学,是,是,是,不是,国际关系学院,科学社会主义与国际共产主义运动,3,全日制,345
北京大学,是,是,是,不是,国际关系学院,中共党史,2,全日制,345
北京大学,是,是,是,不是,国际关系学院,国际政治,6,全日制,345
北京大学,是,是,是,不是,国际关系学院,国际关系,10,全日制,345
北京大学,是,是,是,不是,国际关系学院,外交学,4,全日制,345
北京大学,是,是,是,不是,社会学系,社会学,15,全日制,345
北京大学,是,是,是,不是,社会学系,人类学,4,全日制,345
北京大学,是,是,是,不是,马克思主义学院,马克思主义基本原理,6,全日制,345
北京大学,是,是,是,不是,马克思主义学院,马克思主义发展史,5,全日制,345
北京大学,是,是,是,不是,马克思主义学院,马克思主义中国化研究,5,全日制,345
北京大学,是,是,是,不是,马克思主义学院,国外马克思主义研究,4,全日制,345
北京大学,是,是,是,不是,马克思主义学院,思想政治教育,6,全日制,345
北京大学,是,是,是,不是,马克思主义学院,中国近现代史基本问题研究,6,全日制,345
北京大学,是,是,是,不是,马克思主义学院,中共党史党建学,6,全日制,345
北京大学,是,是,是,不是,法学院,法律（非法学）,135,全日制,350
北京大学,是,是,是,不是,深圳研究生院,法律（非法学）,127,全日制,350
北京大学,是,是,是,不是,法学院,法律（法学）,103,全日制,350
北京大学,是,是,是,不是,深圳研究生院,法律（法学）,35,全日制,350
北京大学,是,是,是,不是,社会学系,社会工作,17,全日制,325
北京大学,是,是,是,不是,人口研究所,社会工作,17,全日制,325
北京大学,是,是,是,不是,教育学院,教育学原理,5,全日制,350
北京大学,是,是,是,不是,教育学院,高等教育学,7,全日制,350
北京大学,是,是,是,不是,教育学院,高等教育学,1,全日制,350
北京大学,是,是,是,不是,教育学院,教育技术学,7,全日制,350
北京大学,是,是,是,不是,体育教研部,体育,21,全日制,355
北京大学,是,是,是,不是,对外汉语教育学院,国际中文教育,24,全日制,345
北京大学,是,是,是,不是,心理与认知科学学院,应用心理,70,非全日制,365
北京大学,是,是,是,不是,医学部,应用心理,20,非全日制,365
北京大学,是,是,是,不是,中国语言文学系,文艺学,4,全日制,355
北京大学,是,是,是,不是,中国语言文学系,语言学及应用语言学,6,全日制,355
北京大学,是,是,是,不是,中国语言文学系,汉语言文字学,13,全日制,355
北京大学,是,是,是,不是,中国语言文学系,中国古典文献学,7,全日制,355
北京大学,是,是,是,不是,中国语言文学系,中国古代文学,10,全日制,355
