监测点ID,城市,日期,天气类型,温度(℃),湿度(%),AQI,PM2.5,PM10,SO2,NO2,CO,O3,是否达标
AQM0001,武汉,2026-02-07,雾,37.0,51,190,230,87,50.6,95.7,6.24,146,否
AQM0002,郑州,2026-07-16,小雨,23.4,24,179,69,376,28.3,63.0,7.01,58,否
AQM0003,杭州,2026-06-04,阴,32.6,64,289,66,400,48.5,103.6,0.56,116,否
AQM0004,武汉,2026-03-28,阴,1.4,29,167,232,290,28.8,36.9,7.36,120,否
AQM0005,深圳,2026-02-28,雷阵雨,24.3,38,189,139,371,4.0,18.9,6.62,57,否
AQM0006,上海,2026-04-12,雪,19.7,49,256,127,219,21.6,39.9,6.69,41,否
AQM0007,西安,2026-05-19,小雨,19.3,45,337,88,188,10.9,93.4,1.18,106,否
AQM0008,上海,2026-04-03,大雨,32.3,58,265,91,306,35.1,34.5,6.38,179,否
AQM0009,北京,2025-11-28,小雨,26.3,64,195,240,375,29.1,71.5,3.46,91,否
AQM0010,杭州,2025-09-22,中雨,18.4,21,177,174,99,76.7,15.9,5.63,128,否
AQM0011,深圳,2025-08-11,小雨,27.3,21,258,83,258,42.4,94.7,5.94,128,否
AQM0012,深圳,2026-01-04,阴,33.6,77,121,179,24,46.3,16.4,6.88,134,否
AQM0013,成都,2026-07-25,多云,17.4,64,225,260,241,14.5,118.0,4.04,105,否
AQM0014,西安,2025-10-18,雾,8.8,83,37,258,130,63.7,35.9,7.46,155,是
AQM0015,苏州,2025-08-18,雪,25.0,61,46,33,205,77.8,78.4,0.78,151,是
AQM0016,北京,2025-08-25,中雨,5.4,32,248,120,63,17.4,27.5,0.82,41,否
AQM0017,西安,2025-08-09,中雨,1.2,24,324,85,72,68.6,38.0,7.88,127,否
AQM0018,南京,2026-07-01,霾,-0.1,61,174,85,229,75.5,110.9,7.75,45,否
AQM0019,广州,2026-04-02,中雨,34.5,44,304,153,399,16.8,76.4,6.71,101,否
AQM0020,沈阳,2026-07-15,小雨,-0.3,84,114,104,104,5.2,116.3,7.9,23,否
AQM0021,郑州,2026-05-11,大雨,6.2,40,344,46,188,32.5,35.9,1.22,178,否
AQM0022,西安,2025-12-30,雾,5.6,86,231,199,22,57.3,103.4,6.28,114,否
AQM0023,西安,2026-04-28,中雨,26.5,55,254,34,245,52.0,113.1,6.84,179,否
