职位ID,职位名称,公司,城市,级别,招聘人数,薪资下限(K),薪资上限(K),经验年限,发布日期,是否急招,备注
JOB0001,UI设计师,京东物流,深圳,P4,11,14,20,10年以上,2026-04-11,否,长期
JOB0002,算法工程师,拼多多,苏州,P9,13,23,48,10年以上,2026-06-06,否,急招
JOB0003,测试工程师,蚂蚁金服,武汉,P5,14,8,25,3-5年,2026-04-06,是,急招
JOB0004,运维工程师,京东,南京,P8,14,29,49,5-10年,2026-06-02,否,社招
JOB0005,架构师,小米,北京,P4,13,8,33,1年以下,2026-05-23,否,长期
JOB0006,数据分析师,字节跳动,北京,P8,10,13,29,1年以下,2026-05-28,否,外包
JOB0007,测试工程师,百度,成都,P5,3,17,42,5-10年,2026-07-24,是,长期
JOB0008,算法工程师,华为,深圳,P6,6,28,51,1年以下,2026-05-21,否,社招
JOB0009,前端工程师,滴滴,武汉,P8,10,33,55,1-3年,2026-07-10,否,外包
JOB0010,架构师,拼多多,西安,P7,14,10,15,5-10年,2026-05-28,是,外包
JOB0011,数据分析师,京东,苏州,P4,13,28,52,1年以下,2026-05-08,是,实习
JOB0012,项目经理,美团,南京,P8,12,14,26,10年以上,2026-05-19,否,长期
JOB0013,数据分析师,京东物流,上海,P6,3,23,33,1年以下,2026-06-13,否,社招
JOB0014,后端工程师,顺丰,广州,P6,12,17,42,1年以下,2026-06-12,否,外包
JOB0015,测试工程师,京东物流,杭州,P7,3,29,43,10年以上,2026-06-09,是,外包
JOB0016,UI设计师,小米,武汉,P4,4,23,32,3-5年,2026-06-20,是,急招
JOB0017,产品经理,网易,北京,P5,2,27,45,5-10年,2026-04-16,否,外包
JOB0018,UI设计师,腾讯,北京,P9,6,23,46,1年以下,2026-05-31,否,长期
JOB0019,算法工程师,小米,深圳,P4,13,28,46,1年以下,2026-04-24,否,急招
JOB0020,前端工程师,腾讯,成都,P4,12,19,38,5-10年,2026-07-15,否,社招
JOB0021,算法工程师,百度,苏州,P5,4,34,51,5-10年,2026-06-26,否,急招
JOB0022,数据分析师,京东物流,广州,P5,2,22,44,1-3年,2026-06-08,否,外包
JOB0023,UI设计师,滴滴,广州,P9,5,25,42,1-3年,2026-06-23,是,社招
JOB0024,产品经理,拼多多,西安,P7,2,10,17,5-10年,2026-05-09,否,外包
JOB0025,运维工程师,顺丰,南京,P7,5,9,32,1年以下,2026-07-06,否,外包
JOB0026,数据分析师,京东物流,南京,P7,5,27,44,10年以上,2026-05-03,是,急招
JOB0027,测试工程师,百度,广州,P6,5,22,45,1-3年,2026-04-17,是,外包
JOB0028,后端工程师,百度,广州,P9,15,23,40,10年以上,2026-07-17,否,社招
JOB0029,运维工程师,字节跳动,杭州,P5,10,17,30,1-3年,2026-05-01,否,长期
JOB0030,项目经理,百度,深圳,P9,9,19,42,5-10年,2026-07-11,否,长期
JOB0031,数据分析师,滴滴,杭州,P9,9,22,30,1-3年,2026-05-04,否,实习
JOB0032,后端工程师,蚂蚁金服,苏州,P8,4,25,47,5-10年,2026-06-18,是,社招
JOB0033,算法工程师,顺丰,西安,P5,10,32,53,1-3年,2026-07-06,否,长期
JOB0034,运维工程师,百度,南京,P6,14,12,21,1-3年,2026-06-09,否,应届生
JOB0035,架构师,字节跳动,深圳,P6,3,17,22,1年以下,2026-07-24,否,实习
JOB0036,数据分析师,拼多多,武汉,P8,10,12,20,5-10年,2026-04-28,否,实习
JOB0037,前端工程师,百度,成都,P4,2,33,51,1-3年,2026-04-03,否,实习
JOB0038,运维工程师,网易,深圳,P5,2,35,52,1年以下,2026-06-22,否,外包
JOB0039,算法工程师,快手,上海,P6,7,23,32,5-10年,2026-07-20,是,社招
JOB0040,前端工程师,字节跳动,广州,P6,4,32,38,5-10年,2026-04-07,否,社招
JOB0041,测试工程师,网易,苏州,P8,10,24,38,1-3年,2026-07-26,否,社招
JOB0042,数据分析师,百度,杭州,P9,2,16,25,1年以下,2026-04-15,是,急招
JOB0043,前端工程师,滴滴,武汉,P5,9,34,56,5-10年,2026-06-27,是,外包
JOB0044,UI设计师,快手,成都,P7,15,27,44,5-10年,2026-06-24,是,应届生
JOB0045,项目经理,小米,北京,P9,7,12,31,3-5年,2026-07-13,是,社招
JOB0046,前端工程师,滴滴,苏州,P7,7,8,30,3-5年,2026-04-13,是,长期
JOB0047,架构师,腾讯,苏州,P6,15,12,22,1-3年,2026-06-25,是,外包
JOB0048,数据分析师,阿里巴巴,上海,P4,7,32,53,10年以上,2026-06-21,否,长期
JOB0049,后端工程师,京东,上海,P8,4,17,36,1-3年,2026-07-09,是,长期
JOB0050,后端工程师,网易,上海,P9,1,26,35,3-5年,2026-04-18,是,社招
JOB0051,产品经理,京东,北京,P6,5,35,52,1年以下,2026-05-07,否,社招
JOB0052,项目经理,滴滴,北京,P5,11,31,46,5-10年,2026-04-17,是,外包
