订单ID,商品名称,品类,品牌,渠道,地区,数量,单价,折扣率,销售额,订单日期,客户等级
ORD00001,瑜伽垫,运动户外,欧莱雅,抖音,东北,13,6467.4,0.88,73987.06,2026-04-28,VIP
ORD00002,自行车,运动户外,华为,京东,东北,11,9893.78,0.78,84888.63,2026-07-13,VIP
ORD00003,洗衣机,家用电器,三只松鼠,线下门店,华南,4,9414.22,0.7,26359.82,2026-06-16,金卡
ORD00004,乐器,图书文娱,耐克,拼多多,东北,10,204.0,0.99,2019.6,2026-04-10,普通
ORD00005,洗衣机,家用电器,三只松鼠,京东,华东,8,8593.83,0.52,35750.33,2026-06-10,普通
ORD00006,座椅套,汽车用品,华为,京东,华北,10,4061.57,0.54,21932.48,2026-02-05,钻石
ORD00007,连衣裙,服装鞋帽,飞利浦,抖音,西南,5,1387.43,0.95,6590.29,2026-03-15,普通
ORD00008,餐具,家居家装,欧莱雅,抖音,西南,17,5441.2,0.85,78625.34,2026-04-13,金卡
ORD00009,小说,图书文娱,耐克,抖音,华北,8,7848.06,0.83,52111.12,2026-06-29,普通
ORD00010,奶瓶,母婴用品,阿迪达斯,抖音,东北,2,1593.69,0.51,1625.56,2026-02-13,金卡
ORD00011,玩具,母婴用品,耐克,京东,华北,3,1595.14,0.97,4641.86,2026-04-10,VIP
ORD00012,口红,美妆个护,海尔,天猫,西南,13,8621.46,0.66,73972.13,2026-06-14,普通
ORD00013,巧克力,食品饮料,耐克,天猫,西北,12,3843.89,0.55,25369.67,2026-03-21,VIP
ORD00014,乐器,图书文娱,耐克,拼多多,华南,8,2719.4,0.98,21320.1,2026-02-01,钻石
ORD00015,奶粉,母婴用品,三只松鼠,小红书,华中,8,7770.75,0.59,36677.94,2026-05-01,金卡
ORD00016,奶粉,母婴用品,阿迪达斯,抖音,华南,6,1908.99,0.5,5726.97,2026-03-02,普通
ORD00017,小说,图书文娱,美的,抖音,华南,16,2881.38,0.77,35498.6,2026-05-07,金卡
ORD00018,矿泉水,食品饮料,华为,京东,华东,6,9809.48,0.63,37079.83,2026-04-06,VIP
ORD00019,瑜伽垫,运动户外,飞利浦,拼多多,华北,9,134.57,0.79,956.79,2026-06-25,银卡
ORD00020,vivo X100,手机数码,Apple,京东,华东,13,7537.95,0.71,69575.28,2026-05-19,银卡
ORD00021,跑步机,运动户外,海尔,拼多多,华北,20,9565.66,0.98,187486.94,2026-04-07,VIP
ORD00022,羽绒服,服装鞋帽,阿迪达斯,小红书,华北,2,2252.07,0.7,3152.9,2026-04-23,银卡
ORD00023,OPPO Find X7,手机数码,华为,抖音,东北,10,8897.18,0.7,62280.26,2026-03-17,VIP
ORD00024,跑步机,运动户外,三只松鼠,小红书,华南,9,8444.65,0.76,57761.41,2026-03-20,金卡
ORD00025,漫画,图书文娱,小米,线下门店,华东,4,3633.94,0.88,12791.47,2026-02-06,VIP
ORD00026,羽毛球拍,运动户外,海尔,小红书,华东,7,151.27,0.61,645.92,2026-03-01,VIP
ORD00027,薯片,食品饮料,三只松鼠,线下门店,华北,10,8521.96,0.75,63914.7,2026-04-04,金卡
ORD00028,小米14,手机数码,阿迪达斯,抖音,东北,9,3670.81,0.76,25108.34,2026-04-25,金卡
ORD00029,乐器,图书文娱,小米,小红书,西南,18,3824.15,0.51,35105.7,2026-06-04,金卡
ORD00030,床垫,家居家装,华为,抖音,西北,13,5333.56,0.72,49922.12,2026-05-29,银卡
ORD00031,电视,家用电器,Apple,线下门店,华北,2,6052.77,0.93,11258.15,2026-04-06,VIP
ORD00032,电视,家用电器,海尔,线下门店,华北,6,2627.88,0.81,12771.5,2026-07-04,钻石
ORD00033,文具,图书文娱,耐克,天猫,华南,14,9936.73,0.66,91815.39,2026-05-23,银卡
ORD00034,瑜伽垫,运动户外,海尔,线下门店,西南,18,2598.9,0.72,33681.74,2026-03-30,银卡
ORD00035,连衣裙,服装鞋帽,华为,拼多多,西北,14,2150.36,0.86,25890.33,2026-03-14,银卡
ORD00036,小说,图书文娱,小米,抖音,华南,15,7550.05,0.53,60022.9,2026-05-13,银卡
ORD00037,眼霜,美妆个护,美的,线下门店,东北,20,8497.77,0.91,154659.41,2026-05-27,VIP
ORD00038,跑步机,运动户外,Apple,线下门店,华南,9,6435.76,0.68,39386.85,2026-04-22,金卡
ORD00039,窗帘,家居家装,小米,小红书,东北,17,8738.7,0.84,124788.64,2026-05-06,银卡
ORD00040,面霜,美妆个护,阿迪达斯,小红书,华中,6,3565.57,0.78,16686.87,2026-05-11,钻石
ORD00041,冰箱,家用电器,Apple,拼多多,华中,19,9019.62,0.93,159376.69,2026-02-05,VIP
ORD00042,车载冰箱,汽车用品,华为,线下门店,西北,18,2306.37,0.61,25323.94,2026-05-15,普通
ORD00043,冰箱,家用电器,欧莱雅,线下门店,华中,8,5463.97,0.54,23604.35,2026-07-22,普通
ORD00044,餐具,家居家装,耐克,抖音,西南,17,884.84,0.62,9326.21,2026-04-13,普通
ORD00045,台灯,家居家装,美的,小红书,西北,10,5353.58,0.64,34262.91,2026-06-26,金卡
ORD00046,矿泉水,食品饮料,三只松鼠,拼多多,华北,15,925.75,0.67,9303.79,2026-06-25,银卡
ORD00047,婴儿车,母婴用品,美的,小红书,华北,10,3763.06,0.54,20320.52,2026-06-29,银卡
ORD00048,帐篷,运动户外,华为,小红书,华南,16,6044.99,0.66,63835.09,2026-07-08,钻石
ORD00049,口红,美妆个护,耐克,抖音,华中,5,1174.77,0.59,3465.57,2026-04-22,金卡
ORD00050,vivo X100,手机数码,飞利浦,拼多多,西北,10,9575.26,0.76,72771.98,2026-04-27,银卡
ORD00051,牛仔裤,服装鞋帽,华为,抖音,华南,11,398.41,0.75,3286.88,2026-07-19,VIP
ORD00052,牛奶,食品饮料,小米,京东,华东,12,3674.02,0.99,43647.36,2026-03-21,银卡
ORD00053,微波炉,家用电器,阿迪达斯,京东,华东,9,5918.13,0.91,48469.48,2026-02-05,金卡
ORD00054,矿泉水,食品饮料,华为,天猫,华中,14,2798.71,0.55,21550.07,2026-05-13,银卡
ORD00055,奶粉,母婴用品,海尔,京东,华北,5,3858.81,0.59,11383.49,2026-04-13,钻石
ORD00056,漫画,图书文娱,Apple,拼多多,华东,19,2249.12,0.89,38032.62,2026-03-11,金卡
ORD00057,薯片,食品饮料,欧莱雅,拼多多,华东,16,4043.47,0.98,63401.61,2026-03-14,普通
ORD00058,咖啡,食品饮料,耐克,拼多多,华北,17,6968.21,0.54,63968.17,2026-03-09,钻石
ORD00059,咖啡,食品饮料,三只松鼠,线下门店,华北,1,5611.03,0.53,2973.85,2026-07-11,钻石
ORD00060,空调,家用电器,飞利浦,天猫,东北,3,1915.98,0.98,5632.98,2026-07-02,VIP
