交易日期,股票代码,股票名称,所属行业,开盘价,最高价,最低价,收盘价,成交量(万手),成交额(亿),涨跌幅(%),换手率(%),市盈率
2025-11-05,000002,万科A,房地产,1337.34,1354.9,1313.27,1330.75,178.26,2372.19,-0.49,3.26,32.11
2025-09-04,300750,宁德时代,电池,930.38,986.34,869.47,975.9,297.86,2906.82,4.89,6.54,54.27
2025-09-11,601166,兴业银行,银行,1536.1,1637.66,1452.53,1478.48,122.8,1815.57,-3.75,10.98,18.45
2026-03-09,601398,工商银行,银行,1207.02,1270.51,1136.1,1241.8,483.63,6005.72,2.88,8.13,55.41
2025-06-12,002594,比亚迪,新能源车,1692.28,1751.7,1613.72,1733.18,344.37,5968.55,2.42,1.5,56.92
2026-07-04,600036,招商银行,银行,49.06,49.8,47.65,49.04,290.63,142.52,-0.04,11.4,58.24
2026-05-26,000333,美的集团,家电,1058.85,1113.87,1003.97,1034.54,441.78,4570.39,-2.3,11.22,70.68
2026-01-07,000001,平安银行,银行,1409.41,1447.62,1377.23,1412.34,189.03,2669.75,0.21,9.45,77.19
2025-04-27,002594,比亚迪,新能源车,1409.25,1464.76,1354.49,1447.23,27.59,399.29,2.69,6.47,28.94
2026-03-27,600690,海尔智家,家电,1115.21,1180.72,1057.53,1061.45,112.12,1190.1,-4.82,8.68,64.47
2026-07-20,601398,工商银行,银行,1606.75,1698.67,1488.41,1683.87,192.63,3243.64,4.8,3.11,6.91
2025-10-10,600690,海尔智家,家电,668.68,695.44,626.63,645.48,425.62,2747.29,-3.47,7.76,14.89
2025-10-01,000001,平安银行,银行,1058.51,1107.07,991.25,1021.93,416.31,4254.4,-3.46,0.69,29.08
2026-05-11,600036,招商银行,银行,295.1,304.76,279.41,286.96,79.0,226.7,-2.76,10.44,47.13
2025-11-05,000002,万科A,房地产,1637.95,1737.5,1536.51,1567.44,392.58,6153.46,-4.3,11.44,48.03
